requirement_id,original,predicted,ground_truth,exact_match,similarity,bleu_1,bleu_2,bleu_3,bleu_4,was_changed,should_change,correct_detection
SCOPE_001,The EMC shall be able to maintain an equipment list for each station.,The EMC shall maintain a separate equipment list for each station.,The EMC shall maintain a separate equipment list for each individual station.,False,0.994330644607544,0.9131007162822624,0.8662433989749432,0.8482783426054292,0.8352052074548169,True,True,True
SCOPE_002,Each QChS shall produce a unique quality flag value.,Each QChS shall produce a unique quality flag value within its own scope.,Each QChS shall produce a quality flag value that is unique across the entire system.,False,0.9355727434158325,0.5935873286495363,0.5044522286342332,0.43267768624722946,0.34152860179730143,True,True,True
SCOPE_003,The Clarus system shall allocate each collector to a specific host.,The Clarus system shall allocate a unique host to each collector.,The Clarus system shall allocate each collector to exactly one specific host.,False,0.9720854759216309,0.5810640921796215,0.4606821198071898,0.4045490947010624,0.34846944887433073,True,True,True
SCOPE_004,The Clarus system shall allocate each contributor to a specific host.,The Clarus system shall allocate each contributor to a unique host.,The Clarus system shall allocate each contributor to exactly one specific host.,False,0.9772508144378662,0.7470824042309421,0.6910231797107846,0.6645556630053742,0.6381941796682009,True,True,True
SCOPE_005,The Clarus system shall be able to respond to 95% of all requests for environmental data 95% of the time.,The Clarus system shall be able to respond to 95% of all requests for environmental data within 95% of the time intervals.,"The Clarus system shall respond to 95% of environmental data requests, and this 95% response rate shall be achieved during 95% of operational time periods.",False,0.9419811964035034,0.5552433681896333,0.4556614732343041,0.3341245229677987,0.24017995835117018,True,True,True
SCOPE_006,"The contributors shall provide the Clarus program with a timely notice of their intent to change, alter, replace, or eliminate any shared data and information as specified within this Clarus Data Sharing Agreement.","The contributors shall provide the Clarus program with a timely notice of their intent to change, alter, replace, or eliminate all shared data and information as specified within this Clarus Data Sharing Agreement.","Contributors shall provide the Clarus program with timely notice before changing, altering, replacing, or eliminating any piece of shared data or information specified in this Clarus Data Sharing Agreement.",False,0.9831870794296265,0.6060606060606061,0.4767312946227961,0.3922211001389111,0.3290988790846551,True,True,True
SCOPE_007,"Any reference in the Clarus Data Sharing Agreement to statutes, regulations and rules shall be a reference to the amended, substituted, replaced or re-enacted statute, regulations and rules.","All references in the Clarus Data Sharing Agreement to statutes, regulations, and rules shall be a reference to the amended, substituted, replaced, or re-enacted statute, regulations, and rules.","Each reference in the Clarus Data Sharing Agreement to statutes, regulations and rules shall be interpreted as referring to the current amended, substituted, replaced or re-enacted version of that specific statute, regulation or rule.",False,0.9733926653862,0.576512676432421,0.47332851964642964,0.3846311026461097,0.32220461382977367,True,True,True
SCOPE_008,Transfers – The transfer shall take place in such a manner that all data needed to perform any Fourier Transform shows-up on a single processor.,The transfer shall take place in such a manner that data needed to perform a single Fourier Transform shows up on a single processor.,Data transfers shall ensure that all data required for each specific Fourier Transform operation is located on a single processor before that operation begins.,False,0.8630598783493042,0.3333333333333333,0.20851441405707477,0.12812395299555493,0.05538696232597745,True,True,True
SCOPE_009,Each QChS shall produce a unique quality value.,Each QChS shall produce a unique quality value within that QChS.,Each QChS shall produce a quality value that is unique within that QChS instance.,False,0.9647610187530518,0.6920912606335216,0.5622575980899646,0.43374687898700964,0.351520275689857,True,True,True
SCOPE_010,Fourier Transform Processing – The BE shall be able to perform Fourier Transform the lag set time series. A power-of-two complex-to-complex Fast Fourier Transform with retention of all output positive and negative frequencies will be used. This process must be able to accept as input the output of any of the time domain processes.,"The BE shall be able to perform Fourier Transform on the lag set time series using a power-of-two complex-to-complex Fast Fourier Transform with retention of all output positive and negative frequencies, and this process shall accept the output of each time domain process individually.","The Fourier Transform processing shall accept as input the output from each individual time domain process, processing them separately. The BE shall use a power-of-two complex-to-complex Fast Fourier Transform retaining all positive and negative frequencies.",False,0.7712646722793579,0.5227272727272727,0.3975346860822057,0.28622341913532795,0.2016031685633831,True,True,True
SCOPE_011,Start Process – The BE shall be able to initiate a processing task on any Backend processor.,The BE shall be able to initiate a processing task on every Backend processor.,"The BE shall be able to initiate a processing task on any available Backend processor, with the system selecting an appropriate processor based on current load.",False,0.8854835033416748,0.36374815343738565,0.3445898777297655,0.33637526818040886,0.3286356646533658,True,True,True
SCOPE_012,Stop Process – The BE shall be able to signal a kill for any Backend process.,The BE shall be able to signal a kill for every Backend process.,The BE shall be able to signal termination for any individual Backend process currently running in the system.,False,0.8094874620437622,0.47126242960849757,0.40049605409947925,0.36976261491289586,0.3409496734277344,True,True,True
SCOPE_013,Reboot Processor – The BE shall be able to initiate a reboot of any Backend a physical processor.,The BE shall be able to initiate a reboot of each Backend physical processor.,The BE shall be able to initiate a reboot of any individual physical Backend processor.,False,0.9617857933044434,0.8645582954394498,0.7465109844063934,0.7039578017220417,0.6728389245316669,True,True,True
SCOPE_014,Reboot network – The BE shall be able to initiate a reboot of any internal network.,The BE shall be able to initiate a reboot of every internal network.,The BE shall be able to initiate a reboot of any individual internal network component within the system.,False,0.924697756767273,0.5759874139659414,0.5422742207348884,0.5274147449022278,0.5132041331150371,True,True,True
SCOPE_015,Output Data Queue – a memory buffer plus backup disk storage of all processed spectra. These will be converted to output AIPS++ Measurement Set entities prior to transfer to the e2e. Data entry status queue to track each record in the buffer.,The system shall maintain a separate data entry status queue for each record in the buffer.,The Output Data Queue shall consist of a memory buffer with backup disk storage containing all processed spectra. Each spectrum shall be converted to an AIPS++ Measurement Set entity before transfer to the e2e system. A data entry status queue shall track the processing status of each individual record.,False,0.664300799369812,0.07151384977427001,0.04264262118079353,0.03252861784225934,0.023839405099803878,True,True,True
SCOPE_016,Input Data Queue – Each record in this queue contains all data needed for any correlation process.,Each record in the Input Data Queue contains all data needed for its own correlation process.,"The Input Data Queue shall contain records, where each individual record contains all data needed for a specific correlation process.",False,0.9232397675514221,0.6327756362455165,0.5126694378857991,0.4207416651324463,0.3385609554882432,True,True,True
